ENSEMBL,wt_GFPneg_24hpf_1,wt_GFPpos_24hpf_1,wt_GFPpos_24hpf_2,wt_GFPneg_48hpf_1,wt_GFPpos_48hpf_1,wt_GFPpos_48hpf_2,wt_GFPneg_72hpf_1,wt_GFPpos_72hpf_1,wt_GFPpos_72hpf_2,gata5_GFPneg_72hpf_1,gata5_GFPpos_72hpf_1,gata5_GFPpos_72hpf_2,tbx5_GFPneg_72hpf_1,tbx5_GFPpos_72hpf_1,tbx5_GFPpos_72hpf_2,hand2_GFPneg_72hpf_1,hand2_GFPpos_72hpf_1,hand2_GFPpos_72hpf_2
ENSDARG00000097011,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSDARG00000097013,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
ENSDARG00000097015,3,11,0,6,20,0,0,22,0,10,18,0,0,0,0,7,1,16
ENSDARG00000097016,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
ENSDARG00000097017,24,15,74,72,146,120,39,23,94,105,47,33,84,171,52,42,102,63
ENSDARG00000097018,11,0,0,31,0,14,14,0,0,37,0,13,95,55,12,21,38,0
ENSDARG00000097019,1,29,0,3,0,0,3,89,0,0,0,11,2,0,0,1,0,1
ENSDARG00000097020,4461,3188,1565,2693,1507,1636,1190,1010,3701,1014,1665,1083,2648,1916,1415,3050,1848,1442
ENSDARG00000097021,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
ENSDARG00000097022,0,14,0,14,13,27,0,0,0,0,0,0,0,0,0,0,0,0
ENSDARG00000097023,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,14,21,0
ENSDARG00000097024,0,0,0,1,0,0,0,0,0,0,0,0,3,16,0,0,17,36
ENSDARG00000097025,22,14,128,13,0,42,1,0,0,18,0,0,13,28,27,2,10,1
ENSDARG00000097026,13,8,54,27,91,31,39,0,0,180,28,57,54,61,52,38,99,75
ENSDARG00000097027,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0
ENSDARG00000097031,0,0,0,0,7,4,0,0,0,0,0,0,13,0,0,12,17,0
ENSDARG00000097032,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,6,0,0
ENSDARG00000097033,2,0,0,7,0,0,21,0,0,0,0,0,19,0,0,0,22,0
ENSDARG00000097035,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
ENSDARG00000097039,0,1,0,8,0,4,0,0,202,0,0,0,9,0,0,0,0,8
ENSDARG00000097040,0,0,0,9,25,0,10,0,0,13,0,0,2,30,0,0,8,0
ENSDARG00000097042,0,11,0,9,0,0,4,0,0,3,0,0,4,7,0,3,2,24
ENSDARG00000097043,0,0,0,0,0,2,3,0,0,0,0,0,52,0,0,0,0,0
ENSDARG00000097044,50,1,0,36,37,31,19,111,322,42,60,45,52,155,100,12,147,44
ENSDARG00000097045,0,0,0,8,0,0,0,77,0,0,0,0,0,0,0,0,8,0
ENSDARG00000097046,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
ENSDARG00000097047,0,0,0,6,0,40,6,0,0,0,29,15,11,15,0,11,30,0
ENSDARG00000097048,105,101,126,152,135,167,127,654,166,62,42,71,167,219,177,17,201,91
ENSDARG00000097049,0,0,0,8,0,0,0,0,0,0,0,0,14,0,0,3,0,15
ENSDARG00000097050,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
ENSDARG00000097051,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
ENSDARG00000097054,0,0,0,0,0,0,5,0,0,0,13,0,0,0,0,0,6,0
ENSDARG00000097055,217,146,304,482,138,271,236,289,815,328,111,183,1070,287,237,313,190,147
ENSDARG00000097057,158,165,295,182,1141,1197,179,1898,1651,219,712,1928,572,1258,1921,283,1611,1406
ENSDARG00000097058,69,96,99,47,23,30,13,0,0,13,0,17,41,0,0,20,13,16
ENSDARG00000097060,17,51,31,43,64,1,17,101,261,44,87,16,132,98,27,16,147,49
ENSDARG00000097061,5,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0
ENSDARG00000097063,1,0,0,12,0,0,24,0,0,29,0,0,17,0,0,19,0,11
ENSDARG00000097064,0,0,0,9,0,0,4,0,0,3,0,0,4,0,0,0,1,21
ENSDARG00000097066,19,68,0,36,26,24,25,119,64,15,106,25,91,36,20,28,73,29
ENSDARG00000097068,0,12,25,0,42,22,0,0,0,0,0,0,2,30,0,0,5,29
ENSDARG00000097071,0,1,0,4,10,13,3,0,0,0,21,0,3,0,0,3,0,0
ENSDARG00000097072,5,6,32,11,38,64,4,67,138,27,34,59,89,167,90,40,119,62
ENSDARG00000097073,5,0,0,0,0,0,2,0,0,0,0,0,7,48,0,0,0,0
ENSDARG00000097074,14,8,0,71,51,30,43,135,131,0,167,7,102,17,41,46,122,162
ENSDARG00000097075,0,0,0,0,0,1,0,0,0,0,0,0,6,43,0,0,7,0
ENSDARG00000097076,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSDARG00000097077,167,48,123,230,27,77,44,0,0,89,35,19,497,38,0,68,109,41
ENSDARG00000097078,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,26,0
ENSDARG00000097080,0,0,0,0,50,0,8,0,0,0,176,10,0,0,28,5,8,0
ENSDARG00000097082,247,39,63,302,93,174,66,399,284,78,122,74,310,292,247,159,301,105
ENSDARG00000097085,0,0,0,0,0,24,6,0,0,0,0,9,0,0,0,0,0,0
ENSDARG00000097086,42,109,113,108,120,102,38,84,372,37,10,72,220,75,107,133,209,146
ENSDARG00000097087,4,0,0,0,8,0,0,12,0,10,0,0,14,28,0,4,0,0
ENSDARG00000097088,12,0,113,34,13,19,12,0,0,13,5,5,39,0,0,46,51,1
ENSDARG00000097089,3,0,3,5,14,3,1,0,0,10,0,0,16,0,0,0,12,0
ENSDARG00000097091,20,32,70,20,16,45,13,15,123,32,47,0,16,44,16,40,77,15
ENSDARG00000097094,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ENSDARG00000097096,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1
ENSDARG00000097097,9,50,43,12,26,37,9,0,0,0,0,0,25,0,0,20,188,96
ENSDARG00000097098,0,1,2,10,0,0,1,4,0,3,0,0,0,9,0,4,0,0
ENSDARG00000097099,0,19,0,9,0,0,9,40,1,0,0,0,0,4,0,13,0,0
ENSDARG00000097101,6,0,0,11,0,7,2,0,0,0,0,0,15,0,0,0,21,0
ENSDARG00000097102,3297,3097,3673,2349,1728,1794,1904,3004,3320,2247,1793,1627,3708,2783,1837,1492,2046,1919
ENSDARG00000097103,556,1677,295,320,263,183,165,233,169,262,213,333,587,407,391,392,425,190
ENSDARG00000097106,1,0,0,0,0,0,1,0,3,6,0,20,0,0,0,5,1,1
ENSDARG00000097108,21,16,0,0,0,0,7,90,0,24,0,0,17,0,0,7,8,0
ENSDARG00000097110,0,0,0,0,4,40,14,85,0,24,13,15,56,80,25,46,75,41
ENSDARG00000097111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
ENSDARG00000097112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
ENSDARG00000097114,68,28,40,113,122,64,77,73,332,37,3,39,106,15,23,8,0,2
ENSDARG00000097115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
ENSDARG00000097118,0,0,0,0,23,0,115,1,558,25,118,37,71,20,0,46,99,29
ENSDARG00000097119,0,7,0,1,0,7,0,0,0,0,0,0,14,0,20,1,0,0
ENSDARG00000097120,8,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0
ENSDARG00000097121,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ENSDARG00000097122,0,0,0,0,47,6,0,4,0,0,9,0,0,0,0,16,5,5
ENSDARG00000097123,0,0,2,3,1,0,3,1,0,21,0,0,0,9,2,0,2,1
ENSDARG00000097124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
ENSDARG00000097125,0,0,41,0,0,7,0,0,0,0,0,0,0,0,0,0,7,1
