ENSEMBL,wt_GFPneg_24hpf_1,wt_GFPpos_24hpf_av,wt_GFPneg_48hpf_1,wt_GFPpos_48hpf_av,wt_GFPneg_72hpf_1,wt_GFPpos_72hpf_av,gata5_GFPneg_72hpf_1,gata5_GFPpos_72hpf_av,tbx5_GFPneg_72hpf_1,tbx5_GFPpos_72hpf_av,hand2_GFPneg_72hpf_1,hand2_GFPpos_72hpf_av
ENSDARG00000018980,52,139.5,43,212,33,398.5,91,121,128,317,76,314.5
ENSDARG00000018984,391,198,516,325.5,360,731.5,611,277,809,242,513,377.5
ENSDARG00000018985,187,302.5,399,626,237,1121.5,475,830,963,1666,333,1253.5
ENSDARG00000018989,916,2302,972,1748,549,1958,518,980.5,1663,2302,1030,2337
ENSDARG00000018997,52,26.5,221,131,41,70.5,273,69,1041,195.5,538,102
ENSDARG00000019000,2522,5968,3092,2053,1649,3766,1487,1527.5,5218,3478.5,2000,3275.5
ENSDARG00000019001,12,0,58,42.5,16,30.5,107,48,90,46,26,27.5
ENSDARG00000019004,1498,1627.5,1896,1445,862,1888,664,835.5,2737,1740.5,1251,1718
ENSDARG00000019008,598,799,402,1009,427,1831.5,385,741,1047,1633.5,529,1487.5
ENSDARG00000019013,62,0,312,84,88,274.5,220,37.5,594,14,210,43
ENSDARG00000019025,0,0,0,0,13,0,0,0,0,0,0,0
ENSDARG00000019033,99,343.5,327,1051,262,2949.5,195,810,693,1509.5,378,1643
ENSDARG00000019038,145,113,343,672.5,126,844.5,143,550.5,991,663.5,233,992
ENSDARG00000019060,455,1397.5,490,1729.5,451,1949.5,463,888,1373,1846.5,444,1707.5
ENSDARG00000019062,44,164.5,98,355,97,576.5,46,448,305,588.5,75,728
ENSDARG00000019063,49,5.5,356,122,256,452,566,147,1022,195,232,167
ENSDARG00000019081,8,47.5,22,258.5,34,488.5,24,275.5,52,522,19,252
ENSDARG00000019093,0,85.5,0,0,0,30,0,7,0,1,0,0.5
ENSDARG00000019096,4,1409.5,12,3863.5,21,2197.5,46,242,56,699,18,6657
ENSDARG00000019098,426,217.5,475,528,515,1338.5,297,259.5,1082,417.5,380,461.5
ENSDARG00000019103,333,421,623,517.5,447,1169.5,587,372.5,1273,849.5,431,860
ENSDARG00000019113,161,326,137,470,137,558,46,384,187,587,81,902.5
ENSDARG00000019116,149,189.5,93,216.5,78,534.5,81,200.5,346,441.5,120,248.5
ENSDARG00000019117,35,195.5,158,227,28,182.5,91,37.5,261,54.5,137,94.5
ENSDARG00000019122,132,30,25,442.5,1,273,0,81,10,274.5,0,138.5
ENSDARG00000019125,42,8.5,8,13,13,61,12,0,52,6.5,10,43
ENSDARG00000019128,93,277,86,318,126,827.5,192,607.5,241,551,528,826.5
ENSDARG00000019130,188,2421.5,178,3570.5,82,8283,335,2071.5,930,6471,401,3659
ENSDARG00000019135,13,49,26,15,29,0,23,1,16,6.5,20,7
ENSDARG00000019137,431,1323,295,584.5,295,977,409,455,545,1140,280,972.5
ENSDARG00000019142,51,79,17,59.5,15,222.5,5,58.5,81,55.5,47,116.5
ENSDARG00000019144,113,162.5,151,113.5,112,404,110,250,317,208.5,159,392
ENSDARG00000019156,126,491,121,125.5,56,246,10,39,165,102.5,42,84.5
ENSDARG00000019160,38,202,141,268.5,42,293,68,94,275,251,108,228
ENSDARG00000019179,0,0,21,0,48,58.5,36,0,250,16,54,0
ENSDARG00000019181,9392,22356,8823,19034,5240,33707,6176,16935.5,14293,24748.5,12781,26969
ENSDARG00000019185,37,16.5,117,83.5,47,122,62,66.5,359,144.5,90,50.5
ENSDARG00000019188,302,688,192,588.5,189,1116,186,440.5,397,1039,165,827.5
ENSDARG00000019191,1307,1596.5,608,921,586,3012.5,727,1104.5,1308,3195,595,2221.5
ENSDARG00000019195,86,478,94,2057,117,4178.5,58,1586.5,305,3558.5,90,3805
ENSDARG00000019205,881,1651,1341,1687.5,1189,4082,1067,1840.5,3049,3403,1129,4481.5
ENSDARG00000019208,110,82,640,180.5,149,632.5,235,98.5,1554,197.5,439,231.5
ENSDARG00000019213,107,208,407,453.5,254,1172.5,303,201.5,937,580.5,365,701
ENSDARG00000019222,68,182.5,73,157,46,564,44,138,170,324,126,394
ENSDARG00000019223,498,1075.5,1241,1439.5,700,1685,754,243.5,2201,1435.5,700,869.5
ENSDARG00000019228,0,0,0,0,14,0,14,0,31,2,6,7
ENSDARG00000019230,6768,12675,4776,13606.5,5411,18427.5,5865,12385,9178,19091.5,7867,21636
ENSDARG00000019231,5685,19223,8274,34789,3398,29710.5,4763,17967,17396,36511.5,11704,41336
ENSDARG00000019233,1,19,34,70.5,5,212.5,48,0.5,87,42,24,66
ENSDARG00000019235,488,1346,1218,998,1291,1253.5,1154,290,2731,951,1238,1279
ENSDARG00000019236,209,1453.5,120,887,94,1130.5,73,564,261,722.5,73,1079
ENSDARG00000019239,772,1705,1031,1204,653,1318,434,862,1727,1592,659,1673
ENSDARG00000019250,18,39.5,42,41,7,62,25,2,53,0,37,22
ENSDARG00000019253,251,7430.5,1725,29182,1396,35915.5,2416,16476,3130,33412.5,799,25064
ENSDARG00000019260,24,224.5,8,17,29,399.5,4,32.5,47,195,27,287.5
ENSDARG00000019265,231,344.5,366,144.5,171,117.5,80,109,492,156,172,158
